TrainLoss,TrainAcc,ValLoss,ValAcc,TestAcc,TestLoss
3.286281174,6.030399434,3.290810161,5.625,34.47635135,2.260202141
3.262860941,12.84199364,3.277954499,8.141891892,34.47635135,2.260202141
3.223425497,18.44114528,3.252650859,12.19594595,34.47635135,2.260202141
3.15782757,20.25450689,3.201056264,17.78716216,34.47635135,2.260202141
3.06196122,21.71438671,3.111418234,21.80743243,34.47635135,2.260202141
2.954904292,22.31884058,2.992221144,24.61148649,34.47635135,2.260202141
2.855716998,23.86355603,2.873719567,26.01351351,34.47635135,2.260202141
2.767894844,25.78296218,2.769005309,26.97635135,34.47635135,2.260202141
2.687690516,27.0661011,2.674501111,27.78716216,34.47635135,2.260202141
2.618397156,28.14775539,2.58913404,28.9527027,34.47635135,2.260202141
2.548737693,29.35312831,2.510506718,29.83108108,34.47635135,2.260202141
2.487145758,30.73524214,2.44143813,30.97972973,34.47635135,2.260202141
2.428479763,31.34676564,2.375160554,31.99324324,34.47635135,2.260202141
2.37050736,33.08236126,2.31807303,33.17567568,34.47635135,2.260202141
2.321744436,34.19936373,2.260202141,34.47635135,34.47635135,2.260202141
,34.19936373,,34.47635135,,
